stock price ,rate of return on total assets_ROA_A,net assets income rateA,operating profit ratio,Sales Margin rate,turnover of account receivableA,rate of stock turnoverA,velocity of liquid assetsA,turnover of total capitalA, liquidity ratio,quick ratio,asset-liability ratio,equity multiplier,Total Assets Growth RateA,net profit growth rateA,increase rate of business revenue,sustainable growth rate
9.97,0.019198,0.022359,0.053107,0.040413,2.729212,2.287313,0.636202,0.475046,5.593263,4.402774,0.141388,1.16467,0.089624,-0.444179,0.065072,0.006866
5.1,0.058975,0.085857,0.249325,0.224528,3.828372,2.049301,0.754572,0.262661,1.561195,1.222307,0.313104,1.455823,0.317014,-0.721537,-0.004745,0.074073
9.26,-0.022815,-0.025758,-0.107803,-0.06454,1.775709,2.252597,0.434955,0.353497,8.019668,6.847123,0.11428,1.129025,-0.008867,82.415152,2.778049,-0.025112
11.86,0.075728,0.085537,0.164821,0.1387,5.285178,3.747249,0.801131,0.545982,7.009291,5.905053,0.114679,1.129534,0.058706,-0.068191,-0.047444,0.066092
7.34,0.030886,0.031324,0.087029,0.087846,3.463429,1.618023,0.519527,0.351599,57.277848,44.494104,0.01397,1.014168,-0.022541,-0.279311,-0.11151,0.014074
9.44,0.040545,0.054744,0.065592,0.051017,3.599905,5.125414,1.214186,0.794731,2.97167,2.375761,0.259369,1.350199,0.205062,0.046497,0.013269,0.04645
14.24,0.014344,0.020306,0.067096,0.068674,0.851191,0.751931,0.334445,0.208876,2.221206,1.587126,0.293579,1.415586,0.074969,-2.404501,0.037632,-0.011354
44.57,0.113253,0.147184,0.390706,0.336297,2.722749,7.886388,0.63271,0.336766,2.407969,2.297544,0.230533,1.2996,0.192362,15.607692,3.394673,0.161449
19.86,0.073879,0.133146,0.209137,0.222699,1.299935,1.796371,0.443005,0.331744,1.743255,1.514061,0.445129,1.802222,0.281261,0.607617,-0.137466,0.134767
10.35,0.015322,0.017625,0.00544,0.023754,5.237765,4.144202,0.968505,0.645017,5.373822,4.195289,0.130711,1.150366,0.062646,1.681098,-0.150872,0.008212
30.07,0.085271,0.089665,0.367186,0.40937,1.505542,0.814334,0.221424,0.208297,21.884517,20.682596,0.049006,1.051531,0.118146,4.90176,1.976399,0.085402
42.42,0.063995,0.073694,0.310584,0.325394,1.44323,1.902799,0.243663,0.196669,7.242387,6.833923,0.131616,1.151565,0.229411,10.162779,2.436404,0.059944
12.85,0.029775,0.032461,0.120583,0.096925,2.338285,2.624613,0.405503,0.307196,10.141596,9.143825,0.08276,1.090227,0.017182,0.584128,0.605955,0.033551
16.98,0.019016,0.020139,-0.051095,0.128358,2.491565,1.964785,0.164666,0.148149,17.299664,16.370879,0.055777,1.059071,-0.022347,-0.088452,0.386228,0.010282
14.15,0.056171,0.058856,0.24201,0.204873,6.186736,4.611831,0.309406,0.274176,20.774484,19.937062,0.045609,1.047789,0.012597,-0.315813,-0.018474,-0.012949
21.09,0.100299,0.105639,0.433633,0.512971,1.367121,1.480362,0.242365,0.195526,22.611123,21.717919,0.050548,1.053239,0.126035,0.024499,0.003412,0.086366
7.07,-0.022459,-0.032626,-0.09982,-0.071815,1.985175,1.220312,0.558379,0.312734,1.808571,1.117892,0.311614,1.452672,0.036874,16.524386,-0.129799,-0.031595
16.22,0.023416,0.032722,0.025951,0.025777,15.450378,4.262123,1.40742,0.908385,2.274046,1.68768,0.284401,1.39743,0.138215,38.338065,0.25378,0.017553
12.34,0.027088,0.032704,0.060001,0.046931,4.544377,7.526598,0.83505,0.577174,4.677158,4.22431,0.171744,1.207357,0.080088,-0.548434,0.373309,0.015553
21.81,0.046948,0.074164,0.051367,0.047724,6.398641,3.917914,1.527706,0.983754,1.754788,1.194764,0.366963,1.579686,0.28375,0.596327,0.25646,0.062528
11.99,0.00825,0.010501,0.042017,0.039081,1.29576,1.65716,0.356134,0.211114,11.219866,9.548628,0.214317,1.272778,0.218403,0.572399,1.108155,0.010612
11.59,0.035516,0.052023,0.068586,0.087499,11.955123,0.665009,0.502863,0.405901,2.644536,1.356268,0.317296,1.464764,0.128672,4.225595,1.387789,0.054877
7.61,0.019864,0.02632,0.03645,0.055139,2.799211,2.892798,0.43161,0.360257,3.40277,3.045722,0.245295,1.325021,0.137417,-2.155402,-0.031135,0.027032
6.72,-0.012957,-0.021676,-0.03884,-0.028757,1.540951,2.173178,0.730809,0.450581,1.555722,1.131174,0.402227,1.672875,0.007246,16.910048,-0.39296,-0.021216
10.29,0.005803,0.008075,0.027583,0.026523,1.591004,1.048373,0.504222,0.218808,2.42131,1.574285,0.281301,1.391403,0.141809,-6.918417,-0.161003,-0.011451
6.19,0.02286,0.032118,0.085376,0.076252,3.64331,4.311626,0.556258,0.299792,1.917323,1.755781,0.288258,1.405004,0.134795,-1.442567,0.248538,0.026713
13.5,0.026238,0.034082,0.08784,0.074682,2.466799,1.508077,0.536434,0.351322,2.886727,2.278057,0.230165,1.29898,0.052641,-0.596628,0.085279,0.02369
14.19,0.076567,0.090736,0.183157,0.207813,1.492955,3.176683,0.423876,0.36844,6.009718,5.587782,0.156161,1.18506,0.036335,1.282317,0.885645,0.068257
14.11,0.005207,0.006841,0.017917,0.017481,1.799739,0.901999,0.360183,0.29787,3.491415,2.503563,0.238905,1.313896,0.091366,-0.578998,1.359115,0.004694
11.21,-0.046687,-0.057003,-0.443951,-0.156855,1.169916,2.857466,0.406281,0.297646,4.602893,4.120723,0.180962,1.220944,-0.018835,10.565892,1.517271,-0.053928
10.84,0.121451,0.130324,0.445601,0.497969,1.428122,1.502962,0.333869,0.243892,10.72924,10.17145,0.068085,1.073059,0.057565,0.734152,0.380486,0.064927
16.14,0.074739,0.114229,0.11804,0.10396,4.165379,3.839859,1.094094,0.718919,1.912739,1.519864,0.345709,1.528372,0.099525,-0.330372,0.224964,0.044382
18.81,0.029947,0.035076,0.153897,0.136946,1.633549,0.872252,0.315324,0.218678,5.564242,4.699747,0.146219,1.17126,0.103921,-1.584514,1.052151,0.017787
9.38,0.058194,0.06228,0.283631,0.288197,1.396511,1.675084,0.288354,0.201925,16.889153,15.197448,0.065612,1.07022,0.015402,-0.095166,0.231641,0.029225
9.72,0.061623,0.073743,0.24073,0.220616,4.069285,3.319593,0.328594,0.279323,5.186867,4.827475,0.164352,1.196676,0.186388,1.274696,1.674027,0.062824
29.43,0.08518,0.113813,0.192471,0.172917,1.843303,4.85982,0.530347,0.492607,3.862952,3.585226,0.251577,1.336143,0.16326,13.887298,4.160886,0.109433
15.62,0.027708,0.046419,0.056825,0.06337,9.374763,1.42918,1.123378,0.43724,1.226936,0.408902,0.403089,1.675292,0.323751,-0.863402,0.129223,0.043803
9.03,0.014712,0.014942,0.040343,0.033779,8.484233,4.394527,1.12447,0.435546,29.704396,23.48459,0.015349,1.015588,0.004894,-1.484944,0.076418,0.009992
7.13,0.074996,0.078317,0.202084,0.188256,3.896382,3.280881,1.444481,0.398372,9.911707,7.435454,0.042412,1.04429,0.051663,-0.190986,0.012475,0.045087
8.51,0.049004,0.055176,0.097883,0.094309,9.530244,2.650839,1.482769,0.519619,3.59718,2.029545,0.111846,1.125931,0.051017,-0.130186,-0.034358,0.037534
14.9,0.054889,0.073156,0.200414,0.17432,2.257657,2.804338,0.962391,0.314876,1.412977,1.200387,0.249697,1.332796,0.430832,-0.127608,0.314414,0.07893
8.71,-0.117542,-0.316713,-0.305141,-0.291211,6.457219,4.82333,1.231187,0.403632,0.73866,0.567043,0.628869,2.694465,-0.144324,-7.326235,-0.81535,-0.240533
8.11,0.047764,0.056506,0.103056,0.094225,3.68589,2.433059,0.835096,0.506913,3.95075,3.264637,0.154709,1.183024,0.1662,-0.510696,-0.038189,0.042789
41.48,0.10263,0.113993,0.364737,0.336522,3.24129,1199.693574,0.354534,0.304971,8.629448,8.629157,0.099682,1.110719,0.144983,-0.103705,0.054578,0.078942
31.63,0.09503,0.125193,0.1738,0.156528,4.106095,2.615102,1.123692,0.607114,2.26177,1.603283,0.240927,1.317396,0.327869,-0.156032,0.258967,0.121459
11.94,-0.022687,-0.028391,-0.100961,-0.079103,1.232331,6.277023,0.362393,0.286799,4.155826,4.001597,0.200937,1.251466,0.080989,-64.120227,0.28319,-0.027608
7.69,0.02404,0.04533,0.043152,0.049628,3.103346,1.124125,0.601954,0.484404,1.852696,1.041459,0.469662,1.88559,0.232464,-0.235919,0.169944,0.037766
5.43,-0.125739,-0.257633,-0.557871,-0.497601,1.725379,4.919925,0.460779,0.252689,1.22346,1.117843,0.511948,2.04896,-0.037441,4.192345,-8.359269,-0.204856
